,fold,few,find,original,per
0,0,100,5459,12205,0.44727570667759114
1,0,200,5865,12205,0.48054076198279394
2,0,500,6467,12205,0.5298648095043015
3,0,1000,6661,12205,0.545759934453093
4,0,original,6668,12205,0.5463334698893896
5,1,100,5858,13020,0.4499231950844854
6,1,200,6341,13020,0.4870199692780338
7,1,500,6678,13020,0.5129032258064516
8,1,1000,6819,13020,0.5237327188940092
9,1,original,6763,13020,0.519431643625192
10,2,100,7786,15784,0.49328433857070453
11,2,200,8197,15784,0.5193233654333502
12,2,500,8577,15784,0.5433983781044095
13,2,1000,8820,15784,0.558793715154587
14,2,original,8878,15784,0.5624683223517486
